"","GrLivArea","SalePrice","Neighborhood","lGrLivArea","lSalePrice"
"1",1077,118000,"BrkSide",6.98193467715639,11.6784399034478
"2",1253,157000,"NAmes",7.13329595489607,11.9640010843304
"3",854,132000,"BrkSide",6.74993119378857,11.7905572015685
"4",1004,149000,"NAmes",6.91174730025167,11.9117015849276
"5",1339,139000,"NAmes",7.19967834569117,11.8422292121128
"6",900,134800,"NAmes",6.80239476332431,11.8115474774603
"7",1600,207500,"NAmes",7.37775890822787,12.2428866186529
"8",520,68500,"BrkSide",6.25382881157547,11.1345890242503
"9",1700,165500,"NAmes",7.43838353004431,12.0167264737993
"10",1297,153000,"NAmes",7.16780918431644,11.9381932003746
"11",1057,109000,"NAmes",6.96318998587024,11.5991031612113
"12",1152,82000,"Edwards",7.04925484125584,11.3144745262464
"13",1324,160000,"NAmes",7.18841273649695,11.982929094216
"14",1150,141000,"NAmes",7.0475172213573,11.8565151693603
"15",1176,114500,"BrkSide",7.06987412845857,11.6483301019764
"16",1360,130000,"NAmes",7.2152399787301,11.7752897294377
"17",1425,180500,"NAmes",7.26192709270275,12.1034860567551
"18",2207,180000,"NAmes",7.69938940625674,12.1007121298723
"19",2223,244000,"NAmes",7.7066129139642,12.4049235042753
"20",1086,144900,"NAmes",6.99025650049388,11.8837991283088
"21",952,135750,"NAmes",6.85856503479136,11.8185702377962
"22",1285,127000,"BrkSide",7.15851399732932,11.7519423654407
"23",2142,193500,"NAmes",7.66949525100769,12.173032791452
"24",1065,126500,"NAmes",6.97073007814353,11.7479975871497
"25",1040,109900,"NAmes",6.94697599213542,11.6073261403917
"26",1235,98600,"NAmes",7.11882624906208,11.4988265405907
"27",960,94750,"Edwards",6.86693328446188,11.4589971229447
"28",835,83000,"Edwards",6.72743172485086,11.3265958867787
"29",1225,128950,"NAmes",7.11069612297883,11.7671800113095
"30",1855,136900,"Edwards",7.52563997504154,11.8270060112765
"31",1125,155000,"Edwards",7.02553831463852,11.9511803959014
"32",1080,136000,"NAmes",6.98471632011827,11.8204101647182
"33",1348,155000,"NAmes",7.20637729147225,11.9511803959014
"34",1053,150000,"NAmes",6.95939851213398,11.9183905730784
"35",2157,226000,"NAmes",7.67647364638916,12.3282902782544
"36",1327,150750,"NAmes",7.19067603433221,11.9233781145894
"37",1214,143000,"NAmes",7.10167597161944,11.870599909242
"38",864,115000,"NAmes",6.76157276880406,11.6526874073454
"39",1385,166000,"NAmes",7.23345541862144,12.0197430673387
"40",1709,130000,"Edwards",7.44366368311559,11.7752897294377
"41",875,105000,"BrkSide",6.77422388635761,11.5617156291397
"42",1344,115000,"BrkSide",7.20340552108309,11.6526874073454
"43",1096,79000,"Edwards",6.99942246750796,11.2772031314492
"44",1040,109500,"NAmes",6.94697599213542,11.6036798282387
"45",1355,127500,"Edwards",7.2115567333138,11.7558716435806
"46",1656,215000,"NAmes",7.4121603349452,12.2783933071098
"47",1362,163000,"NAmes",7.21670948670946,12.0015054797889
"48",2158,243000,"Edwards",7.67693714581808,12.4008167223227
"49",1340,120000,"Edwards",7.20042489294496,11.6952470217642
"50",1252,127000,"BrkSide",7.13249755166004,11.7519423654407
"51",1479,184000,"NAmes",7.2991214627108,12.1226910365911
"52",1709,130000,"Edwards",7.44366368311559,11.7752897294377
"53",3112,235000,"NAmes",8.04302088529828,12.3673407931263
"54",1121,140000,"Edwards",7.02197642307216,11.8493977015914
"55",1100,141000,"NAmes",7.00306545878646,11.8565151693603
