"","Id","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","lGrLivArea","lSalePrice","lTotalBsmtSF","lX1stFlrSF","lX2ndFlrSF"
"1",1,60,65,8450,7,5,2003,2003,196,706,0,150,856,856,854,0,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2,2008,7.44424864949671,12.247694320221,6.75227037614174,6.75227037614174,6.74993119378857
"3",3,60,68,11250,7,5,2001,2002,162,486,0,434,920,920,866,0,1,0,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,0,0,9,2008,7.48773376143644,12.3171666930358,6.82437367004309,6.82437367004309,6.76388490856244
"4",4,70,60,9550,7,5,1915,1970,0,216,0,540,756,961,756,0,1,0,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,0,0,2,2006,7.44833386089748,11.8493977015914,6.62804137617953,6.86797440897029,6.62804137617953
"5",5,60,84,14260,8,5,2000,2000,350,655,0,490,1145,1145,1053,0,1,0,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,0,0,12,2008,7.69530313496357,12.4292161968444,7.04315991598834,7.04315991598834,6.95939851213398
"6",6,50,85,14115,5,5,1993,1995,0,732,0,64,796,796,566,0,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,10,2009,7.21670948670946,11.870599909242,6.67959918584438,6.67959918584438,6.33859407820318
"9",9,50,51,6120,7,5,1931,1950,0,0,0,952,952,1022,752,0,0,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,0,0,4,2008,7.48099216286952,11.7745202026587,6.85856503479136,6.92951677076365,6.62273632394984
"12",12,60,85,11924,9,5,2005,2006,286,998,0,177,1175,1182,1142,0,1,0,3,0,4,1,11,2,2005,3,736,147,21,0,0,0,0,0,7,2006,7.7510451179718,12.7512996960135,7.06902342657826,7.07496319796604,7.04053639021596
"21",21,60,101,14215,8,5,2005,2006,380,0,0,1158,1158,1158,1218,0,0,0,3,1,4,1,9,1,2005,3,853,240,154,0,0,0,0,0,11,2006,7.77317368048254,12.6925031124614,7.05444965813294,7.05444965813294,7.10496544826984
"31",31,70,50,8500,4,4,1920,1950,0,0,0,649,649,649,668,0,0,0,1,0,3,1,6,0,1920,1,250,0,54,172,0,0,0,0,7,2008,7.18311170174328,10.5966347330961,6.47543271670409,6.47543271670409,6.50428817353665
"36",36,60,108,13418,8,5,2004,2005,132,0,0,1117,1117,1132,1320,0,0,0,3,1,4,1,9,1,2004,3,691,113,32,0,0,0,0,0,9,2006,7.8046592970561,12.6410965558799,7.0184017990692,7.03174125876313,7.18538701558042
"47",47,50,48,12822,7,5,2003,2003,0,1351,0,83,1434,1518,631,0,1,0,1,1,1,1,6,1,2003,2,670,168,43,0,0,198,0,0,8,2009,7.67275789664251,12.3870850123755,7.26822302115957,7.32514895795557,6.44730586254121
"57",57,160,24,2645,8,5,1999,2000,456,649,0,321,970,983,756,0,1,0,2,1,3,1,7,0,1999,2,480,115,0,0,0,0,0,0,8,2009,7.46106551435428,12.0581525154536,6.87729607149743,6.89060912014717,6.62804137617953
